compression,eb,mean,var,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,time_var_shift,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,stability,unitroot_kpss,unitroot_pp,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,data,TFE
SZ,0.07,-0.0037191431973789104,-0.004512642814127641,0.558718764362123,-0.9058721934369602,0.012930007067509082,-0.00043706293706293706,-0.03717069627790508,0.0006201935003721161,-0.003533694062125046,-0.011702733769355675,-1.0621743350938724,-0.9644132399815526,0.11546299363148799,0.2284196882569729,-0.007034441386785996,-0.026533004557979457,0.09022556390977443,0.010252082868306433,-0.07352941176470588,-0.029052635046206112,-0.7871547119907571,0.0,-0.02153302730177438,27.222849739954594,-0.40447016354847115,-0.9171413890708745,1.0859954273234345,-0.396547436640445,-0.004779457104444451,-0.004363676769195668,0.04965346448949122,0.0,0.0,0.005289458065887623,-0.24908045189282504,0.007716162092058327,-0.007420002028466944,-0.03914780321910957,-0.134616761652997,0.025014658656015265,0.0,0.0,ettm2,0.0743239689389431
SZ,0.07,-0.0037191431973789104,-0.004512642814127641,0.558718764362123,-0.9058721934369602,0.012930007067509082,-0.00043706293706293706,-0.03717069627790508,0.0006201935003721161,-0.003533694062125046,-0.011702733769355675,-1.0621743350938724,-0.9644132399815526,0.11546299363148799,0.2284196882569729,-0.007034441386785996,-0.026533004557979457,0.09022556390977443,0.010252082868306433,-0.07352941176470588,-0.029052635046206112,-0.7871547119907571,0.0,-0.02153302730177438,27.222849739954594,-0.40447016354847115,-0.9171413890708745,1.0859954273234345,-0.396547436640445,-0.004779457104444451,-0.004363676769195668,0.04965346448949122,0.0,0.0,0.005289458065887623,-0.24908045189282504,0.007716162092058327,-0.007420002028466944,-0.03914780321910957,-0.134616761652997,0.025014658656015265,0.0,0.0,ettm2,0.0150743506840227
SZ,0.07,-0.0037191431973789104,-0.004512642814127641,0.558718764362123,-0.9058721934369602,0.012930007067509082,-0.00043706293706293706,-0.03717069627790508,0.0006201935003721161,-0.003533694062125046,-0.011702733769355675,-1.0621743350938724,-0.9644132399815526,0.11546299363148799,0.2284196882569729,-0.007034441386785996,-0.026533004557979457,0.09022556390977443,0.010252082868306433,-0.07352941176470588,-0.029052635046206112,-0.7871547119907571,0.0,-0.02153302730177438,27.222849739954594,-0.40447016354847115,-0.9171413890708745,1.0859954273234345,-0.396547436640445,-0.004779457104444451,-0.004363676769195668,0.04965346448949122,0.0,0.0,0.005289458065887623,-0.24908045189282504,0.007716162092058327,-0.007420002028466944,-0.03914780321910957,-0.134616761652997,0.025014658656015265,0.0,0.0,ettm2,0.0894376816546929
SZ,0.1,-0.008772006477788571,-0.009278504770265554,1.8611061197117555,-0.6924500370096225,0.00251081665654012,0.0005827505827505828,0.008472949969798024,-0.0004961548002976929,-0.004777679249743408,-0.020533322131436833,-0.9814768084693574,-0.9858434921956098,-0.02809460509887661,-0.11306785578921376,-0.013841364925983157,-0.0351731469873104,0.045112781954887216,0.014250284402131762,-0.27941176470588236,0.1853041782012679,-0.8671050654937593,0.0,-0.01556054152997422,35.49107095155978,-0.4319447273768744,-0.980972056188013,0.7313583201803286,-0.24584321776162263,-0.006561026807663819,-0.0004594570587457838,0.08278851078471658,0.0,0.0,0.012531701777578253,-0.5442873410677086,0.021628383552829058,-0.008966395665424936,-0.05560262700073544,-0.2310277140135498,0.04798385102983705,0.05263157894736842,0.0,ettm2,0.0213977612347192
SZ,0.1,-0.008772006477788571,-0.009278504770265554,1.8611061197117555,-0.6924500370096225,0.00251081665654012,0.0005827505827505828,0.008472949969798024,-0.0004961548002976929,-0.004777679249743408,-0.020533322131436833,-0.9814768084693574,-0.9858434921956098,-0.02809460509887661,-0.11306785578921376,-0.013841364925983157,-0.0351731469873104,0.045112781954887216,0.014250284402131762,-0.27941176470588236,0.1853041782012679,-0.8671050654937593,0.0,-0.01556054152997422,35.49107095155978,-0.4319447273768744,-0.980972056188013,0.7313583201803286,-0.24584321776162263,-0.006561026807663819,-0.0004594570587457838,0.08278851078471658,0.0,0.0,0.012531701777578253,-0.5442873410677086,0.021628383552829058,-0.008966395665424936,-0.05560262700073544,-0.2310277140135498,0.04798385102983705,0.05263157894736842,0.0,ettm2,0.133595425200772
SZ,0.1,-0.008772006477788571,-0.009278504770265554,1.8611061197117555,-0.6924500370096225,0.00251081665654012,0.0005827505827505828,0.008472949969798024,-0.0004961548002976929,-0.004777679249743408,-0.020533322131436833,-0.9814768084693574,-0.9858434921956098,-0.02809460509887661,-0.11306785578921376,-0.013841364925983157,-0.0351731469873104,0.045112781954887216,0.014250284402131762,-0.27941176470588236,0.1853041782012679,-0.8671050654937593,0.0,-0.01556054152997422,35.49107095155978,-0.4319447273768744,-0.980972056188013,0.7313583201803286,-0.24584321776162263,-0.006561026807663819,-0.0004594570587457838,0.08278851078471658,0.0,0.0,0.012531701777578253,-0.5442873410677086,0.021628383552829058,-0.008966395665424936,-0.05560262700073544,-0.2310277140135498,0.04798385102983705,0.05263157894736842,0.0,ettm2,0.1582394344811043
SZ,0.1,-0.008772006477788571,-0.009278504770265554,1.8611061197117555,-0.6924500370096225,0.00251081665654012,0.0005827505827505828,0.008472949969798024,-0.0004961548002976929,-0.004777679249743408,-0.020533322131436833,-0.9814768084693574,-0.9858434921956098,-0.02809460509887661,-0.11306785578921376,-0.013841364925983157,-0.0351731469873104,0.045112781954887216,0.014250284402131762,-0.27941176470588236,0.1853041782012679,-0.8671050654937593,0.0,-0.01556054152997422,35.49107095155978,-0.4319447273768744,-0.980972056188013,0.7313583201803286,-0.24584321776162263,-0.006561026807663819,-0.0004594570587457838,0.08278851078471658,0.0,0.0,0.012531701777578253,-0.5442873410677086,0.021628383552829058,-0.008966395665424936,-0.05560262700073544,-0.2310277140135498,0.04798385102983705,0.05263157894736842,0.0,ettm2,0.0579344156251431
SZ,0.1,-0.008772006477788571,-0.009278504770265554,1.8611061197117555,-0.6924500370096225,0.00251081665654012,0.0005827505827505828,0.008472949969798024,-0.0004961548002976929,-0.004777679249743408,-0.020533322131436833,-0.9814768084693574,-0.9858434921956098,-0.02809460509887661,-0.11306785578921376,-0.013841364925983157,-0.0351731469873104,0.045112781954887216,0.014250284402131762,-0.27941176470588236,0.1853041782012679,-0.8671050654937593,0.0,-0.01556054152997422,35.49107095155978,-0.4319447273768744,-0.980972056188013,0.7313583201803286,-0.24584321776162263,-0.006561026807663819,-0.0004594570587457838,0.08278851078471658,0.0,0.0,0.012531701777578253,-0.5442873410677086,0.021628383552829058,-0.008966395665424936,-0.05560262700073544,-0.2310277140135498,0.04798385102983705,0.05263157894736842,0.0,ettm2,0.1335954286196178
SZ,0.15,-0.02566069035583894,-0.009827786225537646,6.472519362841682,0.36454478164322723,-0.06202376987194167,-0.0013111888111888112,0.09455886861394212,-0.0008682709005209626,-0.007591861598695298,-0.04306504577138028,-0.9983277306608502,-0.9966277132710147,-0.04027920250773854,-0.1271449457629499,-0.028475693488224405,-0.057279007285640615,0.045112781954887216,0.03339758143075392,0.39215686274509803,0.2363698675430171,-0.9027181240975802,0.0,0.09652438455790419,58.427607775637796,-0.43953791312565194,-0.9977988768556175,0.6227940697190809,-0.5344074587703116,-0.028378898308031843,-0.0007220147924489719,0.22101120637604724,0.0,0.0,-0.010925179621616569,-0.10048427986453466,0.015567133735458214,-0.005782153610321069,-0.07216503157619676,-0.3549846484985063,-0.023644192507344484,0.10526315789473684,0.0,ettm2,0.0546574995465765
SZ,0.15,-0.02566069035583894,-0.009827786225537646,6.472519362841682,0.36454478164322723,-0.06202376987194167,-0.0013111888111888112,0.09455886861394212,-0.0008682709005209626,-0.007591861598695298,-0.04306504577138028,-0.9983277306608502,-0.9966277132710147,-0.04027920250773854,-0.1271449457629499,-0.028475693488224405,-0.057279007285640615,0.045112781954887216,0.03339758143075392,0.39215686274509803,0.2363698675430171,-0.9027181240975802,0.0,0.09652438455790419,58.427607775637796,-0.43953791312565194,-0.9977988768556175,0.6227940697190809,-0.5344074587703116,-0.028378898308031843,-0.0007220147924489719,0.22101120637604724,0.0,0.0,-0.010925179621616569,-0.10048427986453466,0.015567133735458214,-0.005782153610321069,-0.07216503157619676,-0.3549846484985063,-0.023644192507344484,0.10526315789473684,0.0,ettm2,0.1282901229582081
