compression,eb,mean,var,max_kl_shift,time_kl_shift,max_level_shift,time_level_shift,max_var_shift,time_var_shift,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,stability,unitroot_kpss,unitroot_pp,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,data,te,TFE
SZ,0.03,-0.024667110315506946,0.016573923696334703,0.5996389548305139,0.0,-0.008123464909870481,0.0,0.005598769092403311,0.0,-0.0009797721808255666,-0.02530078014747339,-0.5665469626174024,-2.991168738195157,-0.08915487329973315,0.10453481750912463,-0.00032813813326681984,-0.009087945084924498,4.0,0.0010865851317216624,-1.0,-0.11076043953144832,-0.340887130595639,0.0,-5.7164761907993467e-05,0.0073872023122456,-0.46322794384927124,-0.5268770169859296,0.34174144543205426,2.2523091144699414e-05,-0.0013239410564015452,0.035205292104762975,-1.4322993646003823,0.0,0.0,0.003516932624209046,-4.2168031431053254e-11,-0.26059318925830155,0.20761669197058197,-0.010793582390436929,-0.24473930537964872,0.010868444584096748,1.0,-1.0,ettm2,0.0066075017675757,0.0042661307316229
SZ,0.03,-0.024667110315506946,0.016573923696334703,0.5996389548305139,0.0,-0.008123464909870481,0.0,0.005598769092403311,0.0,-0.0009797721808255666,-0.02530078014747339,-0.5665469626174024,-2.991168738195157,-0.08915487329973315,0.10453481750912463,-0.00032813813326681984,-0.009087945084924498,4.0,0.0010865851317216624,-1.0,-0.11076043953144832,-0.340887130595639,0.0,-5.7164761907993467e-05,0.0073872023122456,-0.46322794384927124,-0.5268770169859296,0.34174144543205426,2.2523091144699414e-05,-0.0013239410564015452,0.035205292104762975,-1.4322993646003823,0.0,0.0,0.003516932624209046,-4.2168031431053254e-11,-0.26059318925830155,0.20761669197058197,-0.010793582390436929,-0.24473930537964872,0.010868444584096748,1.0,-1.0,ettm2,0.0066075017675757,0.0162701869690873
SZ,0.03,-0.024667110315506946,0.016573923696334703,0.5996389548305139,0.0,-0.008123464909870481,0.0,0.005598769092403311,0.0,-0.0009797721808255666,-0.02530078014747339,-0.5665469626174024,-2.991168738195157,-0.08915487329973315,0.10453481750912463,-0.00032813813326681984,-0.009087945084924498,4.0,0.0010865851317216624,-1.0,-0.11076043953144832,-0.340887130595639,0.0,-5.7164761907993467e-05,0.0073872023122456,-0.46322794384927124,-0.5268770169859296,0.34174144543205426,2.2523091144699414e-05,-0.0013239410564015452,0.035205292104762975,-1.4322993646003823,0.0,0.0,0.003516932624209046,-4.2168031431053254e-11,-0.26059318925830155,0.20761669197058197,-0.010793582390436929,-0.24473930537964872,0.010868444584096748,1.0,-1.0,ettm2,0.0066075017675757,0.0203864762413109
SZ,0.05,-0.0598533274165689,-0.31149834609865223,0.7740340508512951,-7351.0,-0.011615909342154618,-2.0,0.0014829284863824288,0.0,-0.002040407159186741,-0.06366403400094711,-0.6937138146502129,-3.58153577625806,-0.02711860045168213,0.013051362551332601,-0.003332571172604437,-0.017352359923066496,-10.0,0.0031908950625210153,0.0,-0.0174183138212769,-0.43295882047888284,0.0,0.0010866349087214067,0.013244564210655299,-0.6472618578309159,-0.7134198275965132,0.31998534268209683,0.019335658908861502,-0.0028763854641921105,-0.1149617914188994,-3.434339125477024,0.0,0.0,0.005238488009744913,-7.94139057430152e-11,-0.24815658082339098,-0.10065304039726897,-0.022807823388520387,-0.5628957096078828,0.017710139707387995,0.0,0.0,ettm2,0.0110471686348319,0.011237018537952
SZ,0.05,-0.0598533274165689,-0.31149834609865223,0.7740340508512951,-7351.0,-0.011615909342154618,-2.0,0.0014829284863824288,0.0,-0.002040407159186741,-0.06366403400094711,-0.6937138146502129,-3.58153577625806,-0.02711860045168213,0.013051362551332601,-0.003332571172604437,-0.017352359923066496,-10.0,0.0031908950625210153,0.0,-0.0174183138212769,-0.43295882047888284,0.0,0.0010866349087214067,0.013244564210655299,-0.6472618578309159,-0.7134198275965132,0.31998534268209683,0.019335658908861502,-0.0028763854641921105,-0.1149617914188994,-3.434339125477024,0.0,0.0,0.005238488009744913,-7.94139057430152e-11,-0.24815658082339098,-0.10065304039726897,-0.022807823388520387,-0.5628957096078828,0.017710139707387995,0.0,0.0,ettm2,0.0110471686348319,0.0558314312202313
SZ,0.05,-0.0598533274165689,-0.31149834609865223,0.7740340508512951,-7351.0,-0.011615909342154618,-2.0,0.0014829284863824288,0.0,-0.002040407159186741,-0.06366403400094711,-0.6937138146502129,-3.58153577625806,-0.02711860045168213,0.013051362551332601,-0.003332571172604437,-0.017352359923066496,-10.0,0.0031908950625210153,0.0,-0.0174183138212769,-0.43295882047888284,0.0,0.0010866349087214067,0.013244564210655299,-0.6472618578309159,-0.7134198275965132,0.31998534268209683,0.019335658908861502,-0.0028763854641921105,-0.1149617914188994,-3.434339125477024,0.0,0.0,0.005238488009744913,-7.94139057430152e-11,-0.24815658082339098,-0.10065304039726897,-0.022807823388520387,-0.5628957096078828,0.017710139707387995,0.0,0.0,ettm2,0.0110471686348319,0.0392112202455598
SZ,0.05,-0.0598533274165689,-0.31149834609865223,0.7740340508512951,-7351.0,-0.011615909342154618,-2.0,0.0014829284863824288,0.0,-0.002040407159186741,-0.06366403400094711,-0.6937138146502129,-3.58153577625806,-0.02711860045168213,0.013051362551332601,-0.003332571172604437,-0.017352359923066496,-10.0,0.0031908950625210153,0.0,-0.0174183138212769,-0.43295882047888284,0.0,0.0010866349087214067,0.013244564210655299,-0.6472618578309159,-0.7134198275965132,0.31998534268209683,0.019335658908861502,-0.0028763854641921105,-0.1149617914188994,-3.434339125477024,0.0,0.0,0.005238488009744913,-7.94139057430152e-11,-0.24815658082339098,-0.10065304039726897,-0.022807823388520387,-0.5628957096078828,0.017710139707387995,0.0,0.0,ettm2,0.0110471686348319,0.0392112146031754
SZ,0.05,-0.0598533274165689,-0.31149834609865223,0.7740340508512951,-7351.0,-0.011615909342154618,-2.0,0.0014829284863824288,0.0,-0.002040407159186741,-0.06366403400094711,-0.6937138146502129,-3.58153577625806,-0.02711860045168213,0.013051362551332601,-0.003332571172604437,-0.017352359923066496,-10.0,0.0031908950625210153,0.0,-0.0174183138212769,-0.43295882047888284,0.0,0.0010866349087214067,0.013244564210655299,-0.6472618578309159,-0.7134198275965132,0.31998534268209683,0.019335658908861502,-0.0028763854641921105,-0.1149617914188994,-3.434339125477024,0.0,0.0,0.005238488009744913,-7.94139057430152e-11,-0.24815658082339098,-0.10065304039726897,-0.022807823388520387,-0.5628957096078828,0.017710139707387995,0.0,0.0,ettm2,0.0110471686348319,0.006476515145533
SZ,0.07,-0.05388178860538417,-0.23148130467989603,2.424301793843302,-7343.0,0.016301027233426302,-3.0,-0.0414765928624925,5.0,-0.003529546027699171,-0.10966646272224523,-0.8253191523979964,-3.782217288018318,-0.0608348325500595,0.06760913390248252,-0.006099621299329505,-0.02648828462235564,12.0,0.005970706584788821,-15.0,-0.022211101729713745,-0.47767795562762605,0.0,-0.0013202267220926989,0.018720791951659203,-0.71071974296646,-0.7839366928169912,0.347165387580397,0.0198489767151775,-0.003451561976828166,-0.1724172087181799,-5.76975328453598,0.0,0.0,0.004680078187469849,-8.205525968038114e-11,-0.5230763079418637,-0.20243149709577324,-0.03890967791100153,-1.0160915784352929,0.015948728632493303,0.0,0.0,ettm2,0.0153603143990039,0.0248826622563789
SZ,0.07,-0.05388178860538417,-0.23148130467989603,2.424301793843302,-7343.0,0.016301027233426302,-3.0,-0.0414765928624925,5.0,-0.003529546027699171,-0.10966646272224523,-0.8253191523979964,-3.782217288018318,-0.0608348325500595,0.06760913390248252,-0.006099621299329505,-0.02648828462235564,12.0,0.005970706584788821,-15.0,-0.022211101729713745,-0.47767795562762605,0.0,-0.0013202267220926989,0.018720791951659203,-0.71071974296646,-0.7839366928169912,0.347165387580397,0.0198489767151775,-0.003451561976828166,-0.1724172087181799,-5.76975328453598,0.0,0.0,0.004680078187469849,-8.205525968038114e-11,-0.5230763079418637,-0.20243149709577324,-0.03890967791100153,-1.0160915784352929,0.015948728632493303,0.0,0.0,ettm2,0.0153603143990039,0.0743239615596755
