compression,eb,data,metric,decompression error
swing,0.3,ettm2,mae,2.092214822769165
swing,0.4,ettm2,mae,2.765209913253784
swing,0.5,ettm2,mae,3.49306321144104
swing,0.65,ettm2,mae,5.148329734802246
swing,0.8,ettm2,mae,7.294315338134766
sz,0.01,ettm2,rmse,0.0896133184432983
sz,0.03,ettm2,rmse,0.2569756507873535
sz,0.05,ettm2,rmse,0.4296409487724304
sz,0.07,ettm2,rmse,0.5973856449127197
sz,0.1,ettm2,rmse,0.8336473703384399
sz,0.15,ettm2,rmse,1.2635818719863892
sz,0.2,ettm2,rmse,1.6984418630599976
sz,0.25,ettm2,rmse,2.173045873641968
sz,0.3,ettm2,rmse,2.4698240756988525
sz,0.4,ettm2,rmse,3.513688087463379
sz,0.5,ettm2,rmse,4.626155376434326
sz,0.65,ettm2,rmse,7.015434741973877
sz,0.8,ettm2,rmse,9.994536399841309
pmc,0.01,ettm2,rmse,0.0755946263670921
pmc,0.03,ettm2,rmse,0.2498160302639007
pmc,0.05,ettm2,rmse,0.4068286120891571
pmc,0.07,ettm2,rmse,0.5598413944244385
pmc,0.1,ettm2,rmse,0.7676327228546143
pmc,0.15,ettm2,rmse,1.0980302095413208
pmc,0.2,ettm2,rmse,1.4440035820007324
pmc,0.25,ettm2,rmse,1.784227728843689
pmc,0.3,ettm2,rmse,2.185056209564209
pmc,0.4,ettm2,rmse,2.80128812789917
pmc,0.5,ettm2,rmse,3.214202404022217
pmc,0.65,ettm2,rmse,3.518194913864136
pmc,0.8,ettm2,rmse,3.764418601989746
swing,0.01,ettm2,rmse,0.0829171761870384
swing,0.03,ettm2,rmse,0.258065402507782
swing,0.05,ettm2,rmse,0.453031986951828
swing,0.07,ettm2,rmse,0.6380540132522583
swing,0.1,ettm2,rmse,0.9473263025283812
swing,0.15,ettm2,rmse,1.4492748975753784
swing,0.2,ettm2,rmse,1.947326183319092
swing,0.25,ettm2,rmse,2.4102554321289062
swing,0.3,ettm2,rmse,2.738614559173584
swing,0.4,ettm2,rmse,3.724400043487549
swing,0.5,ettm2,rmse,4.731443405151367
swing,0.65,ettm2,rmse,6.786503314971924
swing,0.8,ettm2,rmse,9.203815460205078
sz,0.01,ettm2,nrmse,0.0023041877429932
sz,0.03,ettm2,nrmse,0.0066075017675757
sz,0.05,ettm2,nrmse,0.0110471686348319
