,eb,eblc,metric,value,model,tfe,data,te_metric,te
25,0.02,pmc,mae,0.3012713640928268,dlinear,0.07551640052648173,weather,corr,0.9757828116416932
26,0.02,pmc,mae,0.2858277410268783,gru,0.08644123331895323,weather,mae,2.880774974822998
26,0.02,pmc,mae,0.2858277410268783,gru,0.08644123331895323,weather,rmse,3.560198783874512
26,0.02,pmc,mae,0.2858277410268783,gru,0.08644123331895323,weather,nrmse,0.0333040133118629
26,0.02,pmc,mae,0.2858277410268783,gru,0.08644123331895323,weather,rse,0.218741700053215
26,0.02,pmc,mae,0.2858277410268783,gru,0.08644123331895323,weather,corr,0.9757828116416932
27,0.02,pmc,mae,0.2935145944356918,informer,0.05727193561434485,weather,mae,2.880774974822998
27,0.02,pmc,mae,0.2935145944356918,informer,0.05727193561434485,weather,rmse,3.560198783874512
27,0.02,pmc,mae,0.2935145944356918,informer,0.05727193561434485,weather,nrmse,0.0333040133118629
27,0.02,pmc,mae,0.2935145944356918,informer,0.05727193561434485,weather,rse,0.218741700053215
27,0.02,pmc,mae,0.2935145944356918,informer,0.05727193561434485,weather,corr,0.9757828116416932
28,0.02,pmc,mae,0.3055317401885986,nbeats,0.06932197444699252,weather,mae,2.880774974822998
28,0.02,pmc,mae,0.3055317401885986,nbeats,0.06932197444699252,weather,rmse,3.560198783874512
28,0.02,pmc,mae,0.3055317401885986,nbeats,0.06932197444699252,weather,nrmse,0.0333040133118629
28,0.02,pmc,mae,0.3055317401885986,nbeats,0.06932197444699252,weather,rse,0.218741700053215
28,0.02,pmc,mae,0.3055317401885986,nbeats,0.06932197444699252,weather,corr,0.9757828116416932
29,0.02,pmc,mae,0.335193932056427,transformer,0.07333606763329195,weather,mae,2.880774974822998
29,0.02,pmc,mae,0.335193932056427,transformer,0.07333606763329195,weather,rmse,3.560198783874512
29,0.02,pmc,mae,0.335193932056427,transformer,0.07333606763329195,weather,nrmse,0.0333040133118629
29,0.02,pmc,mae,0.335193932056427,transformer,0.07333606763329195,weather,rse,0.218741700053215
29,0.02,pmc,mae,0.335193932056427,transformer,0.07333606763329195,weather,corr,0.9757828116416932
30,0.023,pmc,mae,0.3126840442419052,dlinear,0.10925920198422874,weather,mae,3.30318284034729
30,0.023,pmc,mae,0.3126840442419052,dlinear,0.10925920198422874,weather,rmse,4.093139171600342
30,0.023,pmc,mae,0.3126840442419052,dlinear,0.10925920198422874,weather,nrmse,0.0382894240319728
30,0.023,pmc,mae,0.3126840442419052,dlinear,0.10925920198422874,weather,rse,0.2514860332012176
30,0.023,pmc,mae,0.3126840442419052,dlinear,0.10925920198422874,weather,corr,0.9678610563278198
31,0.023,pmc,mae,0.2986030429601669,gru,0.12552653185594767,weather,mae,3.30318284034729
31,0.023,pmc,mae,0.2986030429601669,gru,0.12552653185594767,weather,rmse,4.093139171600342
31,0.023,pmc,mae,0.2986030429601669,gru,0.12552653185594767,weather,nrmse,0.0382894240319728
31,0.023,pmc,mae,0.2986030429601669,gru,0.12552653185594767,weather,rse,0.2514860332012176
31,0.023,pmc,mae,0.2986030429601669,gru,0.12552653185594767,weather,corr,0.9678610563278198
32,0.023,pmc,mae,0.3037139177322387,informer,0.08893063726750447,weather,mae,3.30318284034729
32,0.023,pmc,mae,0.3037139177322387,informer,0.08893063726750447,weather,rmse,4.093139171600342
32,0.023,pmc,mae,0.3037139177322387,informer,0.08893063726750447,weather,nrmse,0.0382894240319728
32,0.023,pmc,mae,0.3037139177322387,informer,0.08893063726750447,weather,rse,0.2514860332012176
32,0.023,pmc,mae,0.3037139177322387,informer,0.08893063726750447,weather,corr,0.9678610563278198
33,0.023,pmc,mae,0.3162331283092499,nbeats,0.10081629264209492,weather,mae,3.30318284034729
33,0.023,pmc,mae,0.3162331283092499,nbeats,0.10081629264209492,weather,rmse,4.093139171600342
33,0.023,pmc,mae,0.3162331283092499,nbeats,0.10081629264209492,weather,nrmse,0.0382894240319728
33,0.023,pmc,mae,0.3162331283092499,nbeats,0.10081629264209492,weather,rse,0.2514860332012176
