error,compression,data,eb,metrics,forecasting error,model,compression ratio
0.0,sz,ettm2,0.0,mae,0.11824549362063408,nbeats,1.0
0.0,sz,solar,0.0,mae,0.17784005698069033,nbeats,1.0
0.0,pmc,ettm2,0.0,mae,0.11824549362063408,nbeats,1.0
0.0,swing,ettm2,0.0,mae,0.11824549362063408,nbeats,1.0
0.0,sz,weather,0.0,corr,0.868651807308197,nbeats,1.0
0.0,sz,ettm1,0.0,corr,0.9410505294799804,nbeats,1.0
0.0,pmc,solar,0.0,corr,0.933915963802502,nbeats,1.0
0.0,pmc,ettm1,0.0,corr,0.9410505294799804,nbeats,1.0
0.0,swing,solar,0.0,corr,0.933915963802502,nbeats,1.0
0.0,pmc,belhle02,0.0,corr,0.9856485426425934,nbeats,1.0
0.0,sz,belhle02,0.0,corr,0.9856485426425934,nbeats,1.0
0.0,pmc,weather,0.0,corr,0.868651807308197,nbeats,1.0
0.0,swing,weather,0.0,corr,0.868651807308197,nbeats,1.0
0.0,swing,belhle02,0.0,corr,0.9856485426425934,nbeats,1.0
0.009138926863670349,swing,ettm1,0.01,nrmse,0.07194589450955391,nbeats,0.88
0.009138926863670349,swing,ettm1,0.01,rmse,0.1451069414615631,nbeats,0.88
0.009138926863670349,swing,ettm1,0.01,data_corr,0.9999741315841676,nbeats,0.88
0.009138926863670349,swing,ettm1,0.01,corr,0.9449698925018309,nbeats,0.88
0.009138926863670349,swing,ettm1,0.01,mae,0.11112609133124353,nbeats,0.88
0.009138926863670349,swing,ettm1,0.01,rse,0.4233073443174362,nbeats,0.88
0.00970224104821682,pmc,solar,0.01,rmse,0.3071265902905017,nbeats,3.72
0.00970224104821682,pmc,solar,0.01,corr,0.9350907396846512,nbeats,3.72
0.00970224104821682,pmc,solar,0.01,mae,0.1708369837505979,nbeats,3.72
0.00970224104821682,pmc,solar,0.01,rse,0.3579442867841411,nbeats,3.72
0.00970224104821682,pmc,solar,0.01,data_corr,0.9999885559082032,nbeats,3.72
0.00970224104821682,pmc,solar,0.01,nrmse,0.08297996720385548,nbeats,3.72
0.012344188056886196,pmc,ettm1,0.01,data_corr,0.9999675750732422,nbeats,2.8
0.012344188056886196,pmc,ettm1,0.01,rmse,0.14689814299345014,nbeats,2.8
0.012344188056886196,pmc,ettm1,0.01,mae,0.11114421114325523,nbeats,2.8
0.012344188056886196,pmc,ettm1,0.01,corr,0.9426115453243256,nbeats,2.8
0.012344188056886196,pmc,ettm1,0.01,rse,0.42853267490863794,nbeats,2.8
0.012344188056886196,pmc,ettm1,0.01,nrmse,0.07283399626612662,nbeats,2.8
0.014134657569229603,swing,solar,0.01,nrmse,0.08384487033557814,nbeats,1.45
0.014134657569229603,swing,solar,0.01,corr,0.9342271549863406,nbeats,1.45
0.014134657569229603,swing,solar,0.01,data_corr,0.999984860420227,nbeats,1.45
0.014134657569229603,swing,solar,0.01,mae,0.17737662514034944,nbeats,1.45
0.014134657569229603,swing,solar,0.01,rmse,0.3103277815988205,nbeats,1.45
0.014134657569229603,swing,solar,0.01,rse,0.3616751527395503,nbeats,1.45
0.02257370948791504,sz,solar,0.01,nrmse,0.09371604832365993,nbeats,4.21
0.02257370948791504,sz,solar,0.01,data_corr,0.9999803900718688,nbeats,4.21
0.02257370948791504,sz,solar,0.01,mae,0.21228540349357844,nbeats,4.21
0.02257370948791504,sz,solar,0.01,rse,0.4042556921603839,nbeats,4.21
0.02257370948791504,sz,solar,0.01,rmse,0.34686312066664976,nbeats,4.21
0.02257370948791504,sz,solar,0.01,corr,0.9204952334247788,nbeats,4.21
0.023257426917552948,sz,ettm1,0.01,mae,0.11481480300426485,nbeats,4.44
0.023257426917552948,sz,ettm1,0.01,nrmse,0.07425563037395477,nbeats,4.44
0.023257426917552948,sz,ettm1,0.01,corr,0.9414024353027344,nbeats,4.44
0.023257426917552948,sz,ettm1,0.01,rse,0.4368971139192581,nbeats,4.44
0.023257426917552948,sz,ettm1,0.01,data_corr,0.9999528527259828,nbeats,4.44
0.023257426917552948,sz,ettm1,0.01,rmse,0.14976542443037033,nbeats,4.44
0.029159337282180783,sz,solar,0.03,rmse,0.3441022640228923,nbeats,5.84
0.029159337282180783,sz,solar,0.03,nrmse,0.09297011553569504,nbeats,5.84
0.029159337282180783,sz,solar,0.03,mae,0.20424995100894386,nbeats,5.84
0.029159337282180783,sz,solar,0.03,rse,0.4010380194042468,nbeats,5.84
0.029159337282180783,sz,solar,0.03,data_corr,0.9999679327011108,nbeats,5.84
0.029159337282180783,sz,solar,0.03,corr,0.9201735154168278,nbeats,5.84
0.038671888411045074,pmc,ettm2,0.01,rmse,0.16390655934810638,nbeats,3.54
0.038671888411045074,pmc,ettm2,0.01,rse,0.2661735713481903,nbeats,3.54
0.038671888411045074,pmc,ettm2,0.01,mae,0.11834567412734033,nbeats,3.54
0.038671888411045074,pmc,ettm2,0.01,corr,0.9656008183956146,nbeats,3.54
0.038671888411045074,pmc,ettm2,0.01,data_corr,0.999944269657135,nbeats,3.54
0.038671888411045074,pmc,ettm2,0.01,nrmse,0.048806557431817055,nbeats,3.54
0.049112819135189056,pmc,solar,0.03,mae,0.1754242871822269,nbeats,4.15
0.049112819135189056,pmc,solar,0.03,rse,0.3643780390452589,nbeats,4.15
0.049112819135189056,pmc,solar,0.03,nrmse,0.08447146342641497,nbeats,4.15
0.049112819135189056,pmc,solar,0.03,data_corr,0.9998443126678468,nbeats,4.15
0.049112819135189056,pmc,solar,0.03,corr,0.93332050352095,nbeats,4.15
0.049112819135189056,pmc,solar,0.03,rmse,0.3126469365222675,nbeats,4.15
0.05329585075378418,swing,ettm2,0.01,corr,0.965537130832672,nbeats,1.43
0.05329585075378418,swing,ettm2,0.01,rmse,0.16470244526863098,nbeats,1.43
0.05329585075378418,swing,ettm2,0.01,rse,0.2674660235643387,nbeats,1.43
0.05329585075378418,swing,ettm2,0.01,mae,0.11702509969472885,nbeats,1.43
0.05329585075378418,swing,ettm2,0.01,nrmse,0.049043547362089164,nbeats,1.43
0.05329585075378418,swing,ettm2,0.01,data_corr,0.9999328851699828,nbeats,1.43
0.05385343730449677,swing,ettm1,0.03,data_corr,0.9996047019958496,nbeats,0.98
0.05385343730449677,swing,ettm1,0.03,nrmse,0.07187924906611443,nbeats,0.98
0.05385343730449677,swing,ettm1,0.03,corr,0.945016384124756,nbeats,0.98
0.05385343730449677,swing,ettm1,0.03,mae,0.11099568754434586,nbeats,0.98
0.05385343730449677,swing,ettm1,0.03,rmse,0.144972525537014,nbeats,0.98
0.05385343730449677,swing,ettm1,0.03,rse,0.4229152053594589,nbeats,0.98
0.055122893303632736,swing,solar,0.03,rmse,0.3051627486021221,nbeats,1.73
0.055122893303632736,swing,solar,0.03,data_corr,0.9998380541801452,nbeats,1.73
0.055122893303632736,swing,solar,0.03,corr,0.936187009353029,nbeats,1.73
0.055122893303632736,swing,solar,0.03,nrmse,0.08244937322714653,nbeats,1.73
0.055122893303632736,swing,solar,0.03,mae,0.1695182763468705,nbeats,1.73
0.055122893303632736,swing,solar,0.03,rse,0.35565550445552835,nbeats,1.73
0.057510554790496826,sz,solar,0.05,nrmse,0.09505711804752333,nbeats,6.73
0.057510554790496826,sz,solar,0.05,data_corr,0.9999026656150818,nbeats,6.73
0.057510554790496826,sz,solar,0.05,corr,0.9173795484664632,nbeats,6.73
0.057510554790496826,sz,solar,0.05,rse,0.4100405612319372,nbeats,6.73
0.057510554790496826,sz,solar,0.05,mae,0.21307063047637465,nbeats,6.73
0.057510554790496826,sz,solar,0.05,rmse,0.3518267062826833,nbeats,6.73
0.057609178125858314,pmc,ettm1,0.03,rse,0.4282741844654083,nbeats,3.0
0.057609178125858314,pmc,ettm1,0.03,rmse,0.14680954068899155,nbeats,3.0
0.057609178125858314,pmc,ettm1,0.03,data_corr,0.9996352791786194,nbeats,3.0
0.057609178125858314,pmc,ettm1,0.03,mae,0.11105775088071823,nbeats,3.0
0.057609178125858314,pmc,ettm1,0.03,corr,0.9427342414855956,nbeats,3.0
0.057609178125858314,pmc,ettm1,0.03,nrmse,0.07279006391763687,nbeats,3.0
0.06993631273508072,sz,ettm1,0.03,nrmse,0.07581177353858948,nbeats,5.68
0.06993631273508072,sz,ettm1,0.03,data_corr,0.9995721578598022,nbeats,5.68
0.06993631273508072,sz,ettm1,0.03,rse,0.4460529685020447,nbeats,5.68
0.06993631273508072,sz,ettm1,0.03,rmse,0.1529039889574051,nbeats,5.68
0.06993631273508072,sz,ettm1,0.03,mae,0.11693818867206572,nbeats,5.68
0.06993631273508072,sz,ettm1,0.03,corr,0.9404626488685608,nbeats,5.68
0.07060348987579346,sz,ettm2,0.01,data_corr,0.9999224543571472,nbeats,5.51
0.07060348987579346,sz,ettm2,0.01,rse,0.2638062238693237,nbeats,5.51
0.07060348987579346,sz,ettm2,0.01,rmse,0.16244877874851227,nbeats,5.51
0.07060348987579346,sz,ettm2,0.01,nrmse,0.04837247356772423,nbeats,5.51
0.07060348987579346,sz,ettm2,0.01,mae,0.11624614894390105,nbeats,5.51
0.07060348987579346,sz,ettm2,0.01,corr,0.9662373661994934,nbeats,5.51
0.09161371737718582,pmc,solar,0.05,rse,0.3606094766238985,nbeats,4.56
0.09161371737718582,pmc,solar,0.05,nrmse,0.08359782136066313,nbeats,4.56
0.09161371737718582,pmc,solar,0.05,corr,0.934087291004598,nbeats,4.56
0.09161371737718582,pmc,solar,0.05,rmse,0.3094134005517177,nbeats,4.56
0.09161371737718582,pmc,solar,0.05,data_corr,0.9995617270469666,nbeats,4.56
0.09161371737718582,pmc,solar,0.05,mae,0.17358254629759615,nbeats,4.56
0.09723498672246933,pmc,ettm1,0.05,mae,0.11087165400385857,nbeats,3.67
0.09723498672246933,pmc,ettm1,0.05,nrmse,0.07273087278008461,nbeats,3.67
0.09723498672246933,pmc,ettm1,0.05,corr,0.942912131547928,nbeats,3.67
0.09723498672246933,pmc,ettm1,0.05,rmse,0.14669015258550644,nbeats,3.67
0.09723498672246933,pmc,ettm1,0.05,rse,0.4279258847236633,nbeats,3.67
0.09723498672246933,pmc,ettm1,0.05,data_corr,0.9990412592887878,nbeats,3.67
0.10037203878164293,swing,solar,0.05,corr,0.9363461665768626,nbeats,1.92
0.10037203878164293,swing,solar,0.05,data_corr,0.9995337724685668,nbeats,1.92
0.10037203878164293,swing,solar,0.05,rmse,0.30423740044262537,nbeats,1.92
0.10037203878164293,swing,solar,0.05,mae,0.16848690456148588,nbeats,1.92
0.10037203878164293,swing,solar,0.05,nrmse,0.08219936113977057,nbeats,1.92
0.10037203878164293,swing,solar,0.05,rse,0.3545770465901095,nbeats,1.92
0.10220270603895187,swing,ettm1,0.05,mae,0.11079944670200348,nbeats,1.28
0.10220270603895187,swing,ettm1,0.05,data_corr,0.9988417029380798,nbeats,1.28
0.10220270603895187,swing,ettm1,0.05,corr,0.9450022280216216,nbeats,1.28
0.10220270603895187,swing,ettm1,0.05,rmse,0.14464233070611954,nbeats,1.28
0.10220270603895187,swing,ettm1,0.05,nrmse,0.07171553373336792,nbeats,1.28
0.10220270603895187,swing,ettm1,0.05,rse,0.4219519793987274,nbeats,1.28
0.109355129301548,sz,solar,0.07,data_corr,0.9997525215148926,nbeats,7.37
0.109355129301548,sz,solar,0.07,mae,0.20429706565632014,nbeats,7.37
0.109355129301548,sz,solar,0.07,rmse,0.3415388302736,nbeats,7.37
0.109355129301548,sz,solar,0.07,nrmse,0.0922775227899991,nbeats,7.37
0.109355129301548,sz,solar,0.07,corr,0.9221143846441642,nbeats,7.37
0.109355129301548,sz,solar,0.07,rse,0.3980504354759359,nbeats,7.37
0.11532866954803468,sz,ettm1,0.05,rse,0.4318169355392456,nbeats,6.48
0.11532866954803468,sz,ettm1,0.05,rmse,0.14802397042512894,nbeats,6.48
0.11532866954803468,sz,ettm1,0.05,corr,0.9402080774307252,nbeats,6.48
0.11532866954803468,sz,ettm1,0.05,data_corr,0.9988387823104858,nbeats,6.48
0.11532866954803468,sz,ettm1,0.05,mae,0.11284374073147775,nbeats,6.48
0.11532866954803468,sz,ettm1,0.05,nrmse,0.07339219748973846,nbeats,6.48
0.11873312294483185,sz,solar,0.1,nrmse,0.09231463998073652,nbeats,8.09
0.11873312294483185,sz,solar,0.1,rse,0.3982105450398901,nbeats,8.09
0.11873312294483185,sz,solar,0.1,mae,0.20248751659458086,nbeats,8.09
0.11873312294483185,sz,solar,0.1,corr,0.9234249059898598,nbeats,8.09
0.11873312294483185,sz,solar,0.1,rmse,0.3416762089279485,nbeats,8.09
0.11873312294483185,sz,solar,0.1,data_corr,0.999622106552124,nbeats,8.09
0.13084691762924194,pmc,ettm1,0.07,corr,0.9431924819946288,nbeats,4.5
0.13084691762924194,pmc,ettm1,0.07,data_corr,0.9983125925064088,nbeats,4.5
0.13084691762924194,pmc,ettm1,0.07,nrmse,0.07262330129742622,nbeats,4.5
0.13084691762924194,pmc,ettm1,0.07,rmse,0.1464731991291046,nbeats,4.5
0.13084691762924194,pmc,ettm1,0.07,mae,0.11066002026200293,nbeats,4.5
0.13084691762924194,pmc,ettm1,0.07,rse,0.4272929877042769,nbeats,4.5
0.13199062645435333,pmc,solar,0.07,rmse,0.3191895553867299,nbeats,4.94
0.13199062645435333,pmc,solar,0.07,data_corr,0.9991824626922609,nbeats,4.94
0.13199062645435333,pmc,solar,0.07,mae,0.1829883455731144,nbeats,4.94
0.13199062645435333,pmc,solar,0.07,rse,0.37200321093586375,nbeats,4.94
0.13199062645435333,pmc,solar,0.07,nrmse,0.08623915894990218,nbeats,4.94
0.13199062645435333,pmc,solar,0.07,corr,0.9312588441558216,nbeats,4.94
0.14325766265392306,swing,ettm1,0.07,nrmse,0.0716334693133831,nbeats,1.65
0.14325766265392306,swing,ettm1,0.07,mae,0.11082448065280914,nbeats,1.65
0.14325766265392306,swing,ettm1,0.07,corr,0.9451375305652618,nbeats,1.65
0.14325766265392306,swing,ettm1,0.07,rmse,0.14447681605815887,nbeats,1.65
0.14325766265392306,swing,ettm1,0.07,data_corr,0.9978349208831788,nbeats,1.65
0.14325766265392306,swing,ettm1,0.07,rse,0.4214691370725632,nbeats,1.65
0.148692786693573,swing,solar,0.07,rse,0.3646294730324551,nbeats,2.08
0.148692786693573,swing,solar,0.07,nrmse,0.08452975178240163,nbeats,2.08
0.148692786693573,swing,solar,0.07,mae,0.17744339301577974,nbeats,2.08
0.148692786693573,swing,solar,0.07,corr,0.9344096721479824,nbeats,2.08
0.148692786693573,swing,solar,0.07,data_corr,0.9990661144256592,nbeats,2.08
0.148692786693573,swing,solar,0.07,rmse,0.3128626741831881,nbeats,2.08
0.16591878235340118,sz,ettm1,0.07,mae,0.10914200544357301,nbeats,7.24
0.16591878235340118,sz,ettm1,0.07,data_corr,0.9976374506950378,nbeats,7.24
0.16591878235340118,sz,ettm1,0.07,nrmse,0.07140989601612091,nbeats,7.24
0.16591878235340118,sz,ettm1,0.07,rmse,0.14402589201927185,nbeats,7.24
0.16591878235340118,sz,ettm1,0.07,rse,0.4201536476612091,nbeats,7.24
0.16591878235340118,sz,ettm1,0.07,corr,0.940225064754486,nbeats,7.24
0.17583538591861725,pmc,ettm1,0.1,rmse,0.14659958332777026,nbeats,5.83
0.17583538591861725,pmc,ettm1,0.1,rse,0.4276616871356964,nbeats,5.83
0.17583538591861725,pmc,ettm1,0.1,mae,0.1108725555241108,nbeats,5.83
0.17583538591861725,pmc,ettm1,0.1,corr,0.9430838525295258,nbeats,5.83
0.17583538591861725,pmc,ettm1,0.1,data_corr,0.9969652891159058,nbeats,5.83
0.17583538591861725,pmc,ettm1,0.1,nrmse,0.07268596440553665,nbeats,5.83
0.1783733069896698,pmc,ettm2,0.03,corr,0.9655740559101104,nbeats,4.08
0.1783733069896698,pmc,ettm2,0.03,rmse,0.16396810859441754,nbeats,4.08
0.1783733069896698,pmc,ettm2,0.03,mae,0.11882062628865242,nbeats,4.08
0.1783733069896698,pmc,ettm2,0.03,data_corr,0.9993913769721984,nbeats,4.08
0.1783733069896698,pmc,ettm2,0.03,rse,0.26627351343631744,nbeats,4.08
0.1783733069896698,pmc,ettm2,0.03,nrmse,0.04882488586008549,nbeats,4.08
0.18738311529159546,swing,ettm2,0.03,rse,0.2686656266450882,nbeats,2.64
0.18738311529159546,swing,ettm2,0.03,data_corr,0.9993506669998168,nbeats,2.64
0.18738311529159546,swing,ettm2,0.03,mae,0.11796269565820695,nbeats,2.64
0.18738311529159546,swing,ettm2,0.03,corr,0.965334177017212,nbeats,2.64
0.18738311529159546,swing,ettm2,0.03,nrmse,0.04926350899040699,nbeats,2.64
0.18738311529159546,swing,ettm2,0.03,rmse,0.1654411405324936,nbeats,2.64
0.18826697766780853,pmc,solar,0.1,corr,0.9355464753925384,nbeats,5.47
0.18826697766780853,pmc,solar,0.1,nrmse,0.08288851179428508,nbeats,5.47
0.18826697766780853,pmc,solar,0.1,rse,0.3575497826350757,nbeats,5.47
0.18826697766780853,pmc,solar,0.1,mae,0.172064055610549,nbeats,5.47
0.18826697766780853,pmc,solar,0.1,data_corr,0.9984705448150636,nbeats,5.47
0.18826697766780853,pmc,solar,0.1,rmse,0.30678809427692805,nbeats,5.47
0.1997058391571045,sz,ettm2,0.03,mae,0.11978024244308473,nbeats,7.94
0.1997058391571045,sz,ettm2,0.03,rse,0.27119237184524536,nbeats,7.94
0.1997058391571045,sz,ettm2,0.03,corr,0.9649269878864288,nbeats,7.94
0.1997058391571045,sz,ettm2,0.03,nrmse,0.04972682148218155,nbeats,7.94
0.1997058391571045,sz,ettm2,0.03,rmse,0.16699707508087158,nbeats,7.94
0.1997058391571045,sz,ettm2,0.03,data_corr,0.999359130859375,nbeats,7.94
0.20729616284370425,swing,ettm1,0.1,rmse,0.14445333927869794,nbeats,2.27
0.20729616284370425,swing,ettm1,0.1,corr,0.9447816908359528,nbeats,2.27
