eb,compression,tfe_metric,forecasting error,model,TFE,data,te_metric,te
0.025,SWING,nrmse,0.0788836069405078,NBEATS,0.0643479998755142,WEATHER,nrmse,0.049836341291666
0.025,SWING,nrmse,0.0943243764340877,TRANSFORMER,0.0823520309453305,WEATHER,nrmse,0.049836341291666
0.027,SWING,nrmse,0.0799812562763691,DLINEAR,0.1295019679964496,WEATHER,nrmse,0.0570268183946609
0.027,SWING,nrmse,0.0819810330867767,GRU,0.1520116495875604,WEATHER,nrmse,0.0570268183946609
0.027,SWING,nrmse,0.0798072963953018,INFORMER,0.135896668214529,WEATHER,nrmse,0.0570268183946609
0.027,SWING,nrmse,0.081506323069334,NBEATS,0.0944554749680602,WEATHER,nrmse,0.0570268183946609
0.027,SWING,nrmse,0.0968515090644359,TRANSFORMER,0.1062960886907597,WEATHER,nrmse,0.0570268183946609
0.03,SWING,nrmse,0.0818438902497291,DLINEAR,0.1493130889390811,WEATHER,nrmse,0.0606373101472854
0.03,SWING,nrmse,0.0836056247353553,GRU,0.1684894260114881,WEATHER,nrmse,0.0606373101472854
0.03,SWING,nrmse,0.080729316920042,INFORMER,0.1457657100669665,WEATHER,nrmse,0.0606373101472854
0.03,SWING,nrmse,0.0839798226952552,NBEATS,0.1211269297536874,WEATHER,nrmse,0.0606373101472854
0.03,SWING,nrmse,0.0967921279370784,TRANSFORMER,0.1057478091260017,WEATHER,nrmse,0.0606373101472854
0.0,SZ,nrmse,0.0696235261857509,DLINEAR,0.0,WEATHER,nrmse,0.0
0.0,SZ,nrmse,0.0691472701728344,GRU,0.0,WEATHER,nrmse,0.0
0.0,SZ,nrmse,0.0699871927499771,INFORMER,0.0,WEATHER,nrmse,0.0
0.0,SZ,nrmse,0.0737102143466472,NBEATS,0.0,WEATHER,nrmse,0.0
0.0,SZ,nrmse,0.0840838328003883,TRANSFORMER,0.0,WEATHER,nrmse,0.0
0.01,SZ,nrmse,0.0709756352007389,DLINEAR,0.0190503263713506,WEATHER,nrmse,0.0223647486418485
0.01,SZ,nrmse,0.0732144936919212,GRU,0.0555521634309355,WEATHER,nrmse,0.0223647486418485
0.01,SZ,nrmse,0.0725240111351013,INFORMER,0.0349790137834281,WEATHER,nrmse,0.0223647486418485
0.01,SZ,nrmse,0.0769584961235523,NBEATS,0.0422082283376507,WEATHER,nrmse,0.0223647486418485
0.01,SZ,nrmse,0.0893302522599697,TRANSFORMER,0.0587306016366463,WEATHER,nrmse,0.0223647486418485
0.013,SZ,nrmse,0.0715905874967575,DLINEAR,0.0274765353908526,WEATHER,nrmse,0.0285111498087644
0.013,SZ,nrmse,0.0749147571623325,GRU,0.0769873281041351,WEATHER,nrmse,0.0285111498087644
0.013,SZ,nrmse,0.0744543671607971,INFORMER,0.0599988231875286,WEATHER,nrmse,0.0285111498087644
0.013,SZ,nrmse,0.0772328823804855,NBEATS,0.0456109875128574,WEATHER,nrmse,0.0285111498087644
0.013,SZ,nrmse,0.088917925953865,TRANSFORMER,0.0543657884686251,WEATHER,nrmse,0.0285111498087644
0.015,SZ,nrmse,0.072997510433197,DLINEAR,0.0462205385830761,WEATHER,nrmse,0.0332630351185798
0.015,SZ,nrmse,0.0766382440924644,GRU,0.097744592250732,WEATHER,nrmse,0.0332630351185798
0.015,SZ,nrmse,0.075667418539524,INFORMER,0.0750683173707042,WEATHER,nrmse,0.0332630351185798
0.015,SZ,nrmse,0.0794590525329113,NBEATS,0.0723496946289786,WEATHER,nrmse,0.0332630351185798
0.015,SZ,nrmse,0.0900417268276214,TRANSFORMER,0.0661681448939676,WEATHER,nrmse,0.0332630351185798
0.017,SZ,nrmse,0.072956696152687,DLINEAR,0.0456869642227259,WEATHER,nrmse,0.0378908887505531
0.017,SZ,nrmse,0.0781483836472034,GRU,0.1151797779337835,WEATHER,nrmse,0.0378908887505531
0.017,SZ,nrmse,0.0783098340034484,INFORMER,0.1062783666876986,WEATHER,nrmse,0.0378908887505531
0.017,SZ,nrmse,0.0811456702649593,NBEATS,0.0916309631066405,WEATHER,nrmse,0.0378908887505531
0.017,SZ,nrmse,0.094053529202938,TRANSFORMER,0.1060002371738568,WEATHER,nrmse,0.0378908887505531
0.02,SZ,nrmse,0.0767979063093662,DLINEAR,0.0934189546094476,WEATHER,nrmse,0.0452772602438926
0.02,SZ,nrmse,0.082314446568489,GRU,0.1599619136684467,WEATHER,nrmse,0.0452772602438926
0.02,SZ,nrmse,0.0813755393028259,INFORMER,0.1399480316863881,WEATHER,nrmse,0.0452772602438926
0.02,SZ,nrmse,0.0886234603822231,NBEATS,0.1682765034366379,WEATHER,nrmse,0.0452772602438926
0.02,SZ,nrmse,0.1012614406645298,TRANSFORMER,0.1696362184007375,WEATHER,nrmse,0.0452772602438926
0.023,SZ,nrmse,0.080320805311203,DLINEAR,0.1331819207240948,WEATHER,nrmse,0.0529315620660781
0.023,SZ,nrmse,0.0877201333642005,GRU,0.2117286246505625,WEATHER,nrmse,0.0529315620660781
0.023,SZ,nrmse,0.0862571112811565,INFORMER,0.1886211848452393,WEATHER,nrmse,0.0529315620660781
0.023,SZ,nrmse,0.0951367653906345,NBEATS,0.2252184101068522,WEATHER,nrmse,0.0529315620660781
